Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2024-08-19,463.69573974609375,466.8434281608563,462.2459861105442,465.7015221734726,1690800
2024-08-20,465.82073974609375,466.3668898547218,462.2361429170515,464.83771197469645,1763300
2024-08-21,464.7085876464844,465.79091811383694,461.2530513421023,465.24479834782557,2105900
2024-08-22,465.5227966308594,467.5980940263698,463.4177114374402,466.1880675518061,1538200
2024-08-23,463.1595764160156,467.03214204431987,458.6514972984763,466.99241487550495,1986300
2024-08-26,465.3440856933594,467.22077763143363,463.7156052110144,464.8078750097886,1434400
2024-08-27,471.6494140625,472.15583695996884,464.92703797635903,467.7669092221219,1635900
2024-08-28,468.4818420410156,473.05943589877774,465.5724558573962,471.6593487220069,1445300
2024-08-29,477.4185791015625,478.5307277302712,471.1331105662257,471.1331105662257,1893400
2024-08-30,479.9407043457031,482.3238192748034,476.27665339981814,478.45125372714665,2982100
2024-09-03,478.729248046875,483.2671145366483,476.6638900078534,479.07679255953747,2063700
2024-09-04,479.7420959472656,482.75078477664215,477.79585878877026,478.69946240458273,2156300
2024-09-05,474.0027770996094,480.75497180054055,469.7826667751344,479.7421562317293,2293500
2024-09-06,472.7714538574219,477.06107866690485,471.3713667194816,473.75448151265596,2116200
2024-09-09,483.6643371582031,485.76942254456327,476.19723553616217,477.12068765892286,2343600
2024-09-10,484.5877990722656,484.89561645273875,478.93781378094667,483.67428629891026,2234100
2024-09-11,484.7466735839844,485.67012571804554,474.4793973644284,483.09834455490187,2480000
2024-09-12,488.6490173339844,489.41362138282216,479.6031017409736,483.5253338453357,2299100
2024-09-13,489.89019775390625,493.35567328314124,487.99365739947865,489.632046932966,2204700
2024-09-16,494.2096252441406,494.81535090618644,489.92003058996954,491.81657100143593,1589200
2024-09-17,497.4665832519531,498.2113085852166,494.34868228089135,495.09340761415484,2202800
2024-09-18,491.2803649902344,498.27083088588154,490.5654275346627,497.7544989524485,2193800
2024-09-19,489.5426940917969,497.6055816740793,482.83022714954524,496.48352406122905,3517200
2024-09-20,489.2745666503906,490.05901909209905,484.3097314802468,486.2063021515956,3470200
2024-09-23,493.6436767578125,494.18979653955046,487.8447222493192,489.69165680581386,2191300
2024-09-24,483.9820861816406,489.7810102695115,481.01312432114764,489.2150117634459,4143700
2024-09-25,486.00775146484375,486.4545684709468,480.13931236108533,481.3507334158824,3483200
2024-09-26,487.8149108886719,490.1583288800946,485.5608865981879,487.54682069470397,3073700
2024-09-27,490.1682434082031,492.511630977925,486.9411006649002,487.57658378604845,2177200
2024-09-30,490.3271179199219,491.5087511354679,486.66306707557317,488.32133538491115,2862400
2024-10-01,492.8890075683594,494.52739720156796,489.641985799488,493.7628234535241,3748100
2024-10-02,492.08465576171875,492.42226090008154,486.2360656778325,489.47314774411643,1736500
2024-10-03,491.4888916015625,493.5939768547648,489.5327453421342,492.0647991451381,1382200
